1,1,3,4,1,32,54,48,32,1,1,49,35,17,4,1
1,16,3,4,51,53,5,5,5,5,6,7,49,35,4,1
1,1,3,4,67,69,21,21,21,21,22,23,7,3,4,1
1,16,3,4,83,84,33,2,2,34,38,39,23,3,4,1
1,1,3,4,83,84,49,18,18,50,32,55,72,3,4,1
1,16,3,4,64,81,71,23,1,67,81,71,88,19,4,1
1,1,3,4,113,97,86,72,1,83,86,87,103,17,4,1
1,16,3,4,1,113,114,104,1,113,102,103,17,17,4,1
1,1,3,20,2,2,19,34,32,33,19,17,17,36,50,1
1,1,49,18,18,18,35,20,2,19,17,17,36,50,32,54
1,32,54,1,1,1,49,35,17,17,17,36,50,32,32,32
32,48,48,48,1,1,1,3,17,17,36,50,1,54,48,32
1,54,32,1,1,1,0,3,17,17,4,0,1,1,1,1
1,1,1,16,16,1,0,3,17,17,4,0,1,16,16,1
1,48,1,16,16,1,0,3,17,17,4,0,1,16,16,1
1,1,1,1,1,1,0,3,17,17,4,0,1,1,1,1
